1,0.019,5.2631e-05
2,0.0282,5.2631e-05
3,0.005,5.2631e-05
4,0.0156,5.2631e-05
5,0.0014,5.2631e-05
6,0.0054,5.2631e-05
7,0.0006,5.2631e-05
8,0.0036,5.2631e-05
9,0.0014,5.2631e-05
10,0.0016,5.2631e-05
11,0,5.2631e-05
12,0.0048,5.2631e-05
13,0.001,5.2631e-05
14,0.0014,5.2631e-05
15,0.0004,5.2631e-05
16,0.0024,5.2631e-05
17,0.0002,5.2631e-05
18,0.0018,5.2631e-05
19,0.0008,5.2631e-05
20,0.0022,5.2631e-05
21,0.0002,5.2631e-05
22,0.0026,5.2631e-05
23,0.0002,5.2631e-05
24,0.0062,5.2631e-05
25,0.0002,5.2631e-05
26,0.0012,5.2631e-05
27,0.0002,5.2631e-05
28,0.0006,5.2631e-05
29,0.0004,5.2631e-05
30,0.0014,5.2631e-05
31,0.0006,5.2631e-05
32,0.001,5.2631e-05
33,0.0002,5.2631e-05
34,0.0004,5.2631e-05
35,0,5.2631e-05
36,0.002,5.2631e-05
37,0.0004,5.2631e-05
38,0.0012,5.2631e-05
39,0.0006,5.2631e-05
40,0.0016,5.2631e-05
41,0.0004,5.2631e-05
42,0.0014,5.2631e-05
43,0.0004,5.2631e-05
44,0.0008,5.2631e-05
45,0.0008,5.2631e-05
46,0.0008,5.2631e-05
47,0.001,5.2631e-05
48,0.0042,5.2631e-05
49,0.0006,5.2631e-05
50,0.0008,5.2631e-05
51,0,5.2631e-05
52,0.0006,5.2631e-05
53,0.0006,5.2631e-05
54,0.0012,5.2631e-05
55,0.0004,5.2631e-05
56,0.0012,5.2631e-05
57,0.0006,5.2631e-05
58,0.0004,5.2631e-05
59,0.0004,5.2631e-05
60,0.001,5.2631e-05
61,0.0006,5.2631e-05
62,0.0022,5.2631e-05
63,0.0002,5.2631e-05
64,0.0008,5.2631e-05
65,0.0004,5.2631e-05
66,0.0006,5.2631e-05
67,0.0006,5.2631e-05
68,0.0008,5.2631e-05
69,0.0004,5.2631e-05
70,0.0014,5.2631e-05
71,0.0006,5.2631e-05
72,0.0012,5.2631e-05
73,0,5.2631e-05
74,0.0012,5.2631e-05
75,0.0004,5.2631e-05
76,0.0004,5.2631e-05
77,0,5.2631e-05
78,0.0006,5.2631e-05
79,0.0002,5.2631e-05
80,0.0008,5.2631e-05
81,0.0002,5.2631e-05
82,0.0004,5.2631e-05
83,0.0008,5.2631e-05
84,0.0008,5.2631e-05
85,0.0002,5.2631e-05
86,0.0004,5.2631e-05
87,0.0002,5.2631e-05
88,0.0012,5.2631e-05
89,0,5.2631e-05
90,0.0012,5.2631e-05
91,0.0004,5.2631e-05
92,0.0004,5.2631e-05
93,0,5.2631e-05
94,0.001,5.2631e-05
95,0.0002,5.2631e-05
96,0.0018,5.2631e-05
97,0,5.2631e-05
98,0.0008,5.2631e-05
99,0.0002,5.2631e-05
100,0.0018,5.2631e-05
